CD11b	Ly6C	Ly6G	CD4	CD8	B_cells	NK_cells	Genotype
63.4	7.08	49	4.52	8.05	12.6	6.15	APOE2
52.6	13.3	36	5.84	10	15.9	8.27	APOE2
17.2	8.65	2.12	10.5	16.6	31.6	15.7	APOE3
28.1	10.9	10.2	9.27	15.7	20.9	16.8	APOE3
50.4	29.8	16.3	7.2	11.9	7.72	13.5	APOE4
21.7	12.2	5.43	11.5	17.7	20.9	16.4	APOE4
33	15	15.1	9.56	13.5	16.9	15.8	APOE4
52.6	17.3	30.2	7.19	11.4	10	9.22	APOE2
47.5	25.2	14.5	6.12	12.3	10.5	13	APOE2
44.2	17.9	19.7	9.86	12.3	11.8	10.5	APOE2
15.8	6.75	4	15.7	24.3	12.2	20.7	APOE3
20.3	8.99	3.8	12.3	16	22.5	17.3	APOE3
27.1	13.3	7.84	12.1	18.4	11.4	14.8	APOE4
21.5	11.1	3.77	12.6	20.4	20.6	13.5	APOE4
46.6	22	15.7	7.9	13.5	8.59	12.6	APOE4
52	33.7	7.56	4.69	9.46	10.6	13.6	APOE2
25.9	6.8	6.2	11.6	15	20.2	14.2	APOE3
40.3	14.6	19.2	9.6	14.9	12.5	11.1	APOE4
22.7	11.8	1.96	13.1	25.1	14	15.8	APOE4
22.2	4.52	5.44	14.1	19	16.4	17.5	APOE2
20.7	8.03	1.95	14	19.1	15.6	17.8	APOE2
25.4	6.1	3.83	12.4	16.4	14	17.5	APOE3
42	14.2	22.6	7.06	15.8	10.7	12.4	APOE2
29.6	11.3	15.9	8.84	28.5	10.6	12.6	APOE2
35.6	19.3	8.6	8.44	16	13.4	14.2	APOE2
41.6	19.7	12.6	6.38	19.1	8.63	12.7	APOE3
32.2	12.7	10.4	10.7	19.1	9.81	14.1	APOE3
29.4	14.4	8.28	9.27	19	11.5	16.4	APOE3
28.6	14.2	6.85	10.2	17.1	11.6	18.4	APOE3
38.1	24.8	6.27	6.54	14.6	19.4	10.8	APOE4
49.4	26	18.4	6.86	14.1	5.86	11.6	APOE2
39.1	20.8	9.81	7.08	14.9	14.1	13.7	APOE4
41.7	22.7	12.5	6.99	16.5	13.4	11.4	APOE4
32	17.5	7.62	7.83	16.4	19.5	11.7	APOE4
29.6	13.9	8.29	8.49	24.4	8.02	15	APOE3
40.5	18.9	12.4	8.1	15.6	8.63	12.1	APOE2
42.7	21.4	14.7	7.94	20	7.29	7.74	APOE2
59.6	27.6	25.6	6.06	12.5	3.98	7.28	APOE2
35.1	12.4	3.52	8.76	14.6	17.5	12.1	APOE3
50.9	22.7	22.3	6.43	11.7	11.9	9.32	APOE2
33.7	17.4	7.92	9.34	22.8	5.01	14.3	APOE3
31.3	16.3	7.66	9.63	23.6	6.71	16.2	APOE3
35.5	13.6	7.68	9.59	17.8	7.49	10.5	APOE3
34.6	21.2	10.1	7.6	15.5	14.4	16	APOE4
40.4	27.6	8.34	7.7	15.6	10.1	17	APOE4
47	25.5	17.1	7.54	14.6	7.16	13.7	APOE4
39.2	24.4	8.65	7.24	17.1	6.75	17.1	APOE4
32	15.4	7.93	9.58	15.6	12.6	16.1	APOE2
40.2	17.5	17.4	2.29	4.15	1.85	6.09	APOE2
61.9	26.6	31.5	4.94	9.77	5.82	8.24	APOE2
38.5	17.8	10.6	7.8	15.4	10.8	14.9	APOE2
36.9	17	12.6	10.7	20.7	7.31	11.4	APOE2
36.1	21.4	8.37	6.77	17.9	8.91	16.8	APOE4
30.6	18.1	5.43	9.32	16.9	16.2	12.8	APOE4
40.7	15.8	18.3	7.21	13.9	12.6	14.9	APOE4
32.9	16.9	10.1	7.89	11	16.8	16	APOE4
