genotype	tetramer
APOE3	8.47
APOE3	8.11
APOE3	7.46
APOE3	6.02
APOE4	9.27
APOE4	3.68
APOE4	10.9
APOE4	12.4
APOE4	15.7
APOE2	6
APOE2	4.07
APOE3	6.41
APOE3	7.33
APOE3	16.8
APOE3	13.3
APOE3	4.32
APOE4	10.8
APOE4	15.6
APOE4	12.9
APOE4	14.8
APOE4	17.6
APOE4	9.66
APOE2	6.37
APOE3	11.3
APOE2	10
APOE3	12.1
APOE4	8.14
APOE3	9.51
APOE2	4.45
APOE3	8.11
APOE3	5.96
APOE2	10.3
APOE3	12
APOE2	8.69
APOE2	7.85
APOE2	5.17
APOE2	6.03
APOE2	7.9
APOE4	11.3
APOE2	5.94
APOE3	6.15
APOE4	14.5
APOE3	3.65
APOE3	8.99
APOE3	4.65
APOE4	10.1
APOE3	9.68
APOE3	6.43
APOE4	6.79
APOE2	7.33
APOE4	8.13
APOE3	9.66
APOE2	6.86
