gene_id	colors
ORF1ab	grey60
S	grey60
ORF3a	grey60
E	grey60
M	grey60
ORF6	grey60
ORF7a	grey60
ORF7b	grey60
ORF8	grey60
N	grey60
ORF10	grey60
Xkr4	blue
Rp1	blue
Sox17	blue
Gm29874	green
Lypla1	brown
Tcea1	brown
Rgs20	brown
Atp6v1h	grey60
Alkal1	brown
Pcmtd1	salmon
Sntg1	cyan
Rrs1	green
Vcpip1	grey60
Sgk3	grey60
Snhg6	purple
Snord87	blue
Cops5	green
Prex2	blue
Sulf1	blue
Lactb2	green
Eya1	lightgreen
Msc	tan
Gm9947	blue
Gm51415	blue
Rdh10	grey60
Eloc	purple
Ly96	brown
Jph1	cyan
Pi15	green
Crispld1	blue
Mcm3	yellow
Tmem14a	blue
Gsta3	lightgreen
Gm4956	lightgreen
Ogfrl1	grey60
Sdhaf4	blue
Col19a1	cyan
Dst	lightgreen
Ccdc115	brown
Ptpn18	grey60
Neurl3	grey60
Arid5a	grey60
Kansl3	grey60
Cnnm3	blue
Ankrd23	cyan
Sema4c	grey60
Fam178b	lightgreen
Zap70	midnightblue
Tmem131	grey60
Unc50	purple
Mgat4a	yellow
4930594C11Rik	brown
Mitd1	grey60
Mrpl30	grey60
Lyg1	cyan
Eif5b	green
Pdcl3	purple
Npas2	red
Snord89	lightgreen
Rnf149	brown
Gm16894	grey60
Il1r2	brown
Il1r1	green
Il1rl2	green
Il1rl1	blue
Il18r1	brown
Il18rap	brown
Tmem182	cyan
Fhl2	grey60
Nck2	black
Uxs1	green
Poglut2	turquoise
Bivm	blue
Mettl21e	turquoise
Gulp1	blue
Col3a1	tan
Col5a2	tan
Gm39637	brown
Wdr75	green
Slc40a1	grey60
Dnah7c	blue
Slc39a10	turquoise
Tmeff2	lightgreen
Cavin2	blue
Nabp1	grey60
Myo1b	blue
Stat4	midnightblue
Stat1	grey60
Nab1	grey60
Mfsd6	salmon
Inpp1	grey60
Mstn	cyan
Pms1	tan
Dnah7a	blue
Stk17b	grey60
Hecw2	lightgreen
Ccdc150	blue
Pgap1	blue
Ankrd44	blue
Coq10b	grey60
Hspd1	green
Rftn2	blue
4930558J18Rik	tan
Maip1	red
Spats2l	grey60
Sgo2a	tan
Aox1	blue
Aox3	lightgreen
Aox4	cyan
Bzw1	brown
Clk1	lightgreen
Orc2	green
Fam126b	blue
Ndufb3	lightcyan
Cflar	grey60
Gm39646	black
Casp8	brown
Mpp4	lightgreen
Fzd7	lightgreen
Gm973	blue
Nop58	brown
Bmpr2	blue
Fam117b	blue
Wdr12	green
Nbeal1	blue
Abi2	turquoise
Pard3b	blue
Nrp2	turquoise
Adam23	turquoise
Klf7	grey60
2810408I11Rik	brown
Ccnyl1	red
Fzd5	grey60
Idh1	blue
Kansl1l	lightgreen
Gm46093	brown
Acadl	brown
Myl1	cyan
Lancl1	lightgreen
Ikzf2	lightgreen
Bard1	brown
Abca12	cyan
Fn1	tan
Mreg	grey60
Gm25360	magenta
D230017M19Rik	lightgreen
Gm24497	magenta
Gm25939	magenta
Pecr	turquoise
Rpl37a	turquoise
Igfbp2	lightgreen
Igfbp5	turquoise
C530043A13Rik	brown
Gm29183	green
Tns1	lightgreen
Cxcr2	grey60
Cxcr1	grey60
Arpc2	brown
Pnkd	lightgreen
Catip	blue
Slc11a1	brown
Cyp27a1	lightgreen
Prkag3	lightgreen
Wnt10a	cyan
Cfap65	blue
Ankzf1	lightgreen
Tuba4a	cyan
Des	cyan
Gm15179	cyan
Tmem198	black
Sgpp2	lightgreen
Farsb	lightcyan
Kcne4	green
Wdfy1	pink
Serpine2	turquoise
Fam124b	turquoise
Dock10	midnightblue
Irs1	lightgreen
Col4a4	lightgreen
Col4a3	blue
Slc19a3	lightgreen
Ccl20	grey60
Daw1	lightgreen
Trip12	brown
A530032D15Rik	grey60
A530040E14Rik	grey60
Gm7609	grey60
C130026I21Rik	grey60
Gm7592	grey60
Sp110	grey60
Sp140	grey60
Sp100	grey60
A630001G21Rik	yellow
Ncl	green
Cops7b	black
Eif4e2	green
Efhd1	cyan
Kcnj13	lightgreen
Ngef	lightgreen
Neu2	cyan
Inpp5d	grey60
Sag	grey60
Dnajb3	grey60
Gm29538	lightgreen
Glrp1	grey60
Gm19589	grey60
Arl4c	yellow
Sh3bp4	lightgreen
Agap1	blue
Iqca	lightgreen
Ackr3	brown
