condition	perc_infected
BSA	50.96794
BSA	51.45654
BSA	51.96374
BSA	50.17517
BSA	40.95597
BSA	48.83987
BSA	45.84451
BSA	41.64787
BSA	35.99463
BSA	56.30065
APOE2	44.86231
APOE2	48.68349
APOE2	43.51136
APOE2	40.78866
APOE2	42.79355
APOE2	35.20422
APOE2	46.65299
APOE2	28.64038
APOE2	46.86776
APOE2	49.9057
APOE3	43.05765
APOE3	34.95611
APOE3	35.2648
APOE3	41.99243
APOE3	32.84775
APOE3	40.56167
APOE3	16.70695
APOE3	43.65572
APOE3	24.84347
APOE3	49.65488
APOE4	48.88096
APOE4	47.31571
APOE4	51.72813
APOE4	44.31692
APOE4	34.06386
APOE4	50.82089
APOE4	46.50485
APOE4	44.53249
APOE4	47.77872
APOE4	42.84743
