genotype	sex	age_at_inf	day	outcome	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	age_binary	UID
APOE2	female	25.28571429	13	0	100	98.19277108433735	NA	83.13253012048193	78.71485943775102	73.89558232931726	71.8875502008032	71.48594377510041	71.8875502008032	75.90361445783132	75.90361445783132	NA	NA	82.73092369477912	NA	< 30 weeks	1
APOE2	female	25.28571429	13	0	100	96.72131147540983	NA	86.22950819672131	80.65573770491804	76.0655737704918	73.44262295081967	72.45901639344264	74.09836065573771	75.40983606557377	77.04918032786885	NA	NA	84.91803278688525	NA	< 30 weeks	2
APOE2	female	25.28571429	7	1	100	97.91666666666666	NA	83.75	81.25	75	71.25	69.58333333333333	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	3
APOE2	female	25.28571429	13	0	100	98.43749999999999	NA	86.71874999999999	80.46875	75.390625	72.265625	70.3125	71.87499999999999	75.78124999999999	76.95312499999999	NA	NA	86.328125	NA	< 30 weeks	4
APOE2	female	25.28571429	13	0	100	98.96907216494844	NA	91.40893470790378	87.97250859106529	90.03436426116838	91.06529209621993	89.34707903780068	92.09621993127148	93.12714776632302	91.40893470790378	NA	NA	92.09621993127148	NA	< 30 weeks	5
APOE2	male	21.71428571	6	1	100	96.74267100977198	NA	87.62214983713355	83.06188925081433	79.80456026058633	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	6
APOE2	male	21.71428571	13	0	100	100.77821011673151	NA	98.83268482490271	98.44357976653697	97.27626459143968	98.83268482490271	98.44357976653697	97.66536964980546	99.61089494163426	98.0544747081712	NA	NA	99.61089494163426	NA	< 30 weeks	7
APOE2	male	21.71428571	13	0	100	97.77777777777777	NA	86.34920634920634	81.26984126984127	77.14285714285715	75.55555555555556	75.55555555555556	76.50793650793652	76.50793650793652	76.19047619047619	NA	NA	79.04761904761905	NA	< 30 weeks	8
APOE2	male	21.71428571	8	1	100	97.72727272727273	NA	88.63636363636364	82.14285714285714	78.8961038961039	75.32467532467531	72.40259740259741	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	9
APOE2	male	21.71428571	6	1	100	98.13084112149532	NA	85.04672897196261	80.99688473520249	77.57009345794393	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	10
APOE2	female	22.71428571	13	0	100	97.98387096774194	91.53225806451613	84.27419354838709	81.4516129032258	88.70967741935483	90.7258064516129	90.32258064516128	93.95161290322581	96.77419354838709	94.35483870967741	93.14516129032259	93.54838709677419	92.74193548387096	NA	< 30 weeks	11
APOE2	female	22.71428571	13	0	100	101.19521912350598	94.42231075697211	84.4621513944223	80.87649402390437	86.45418326693226	91.63346613545816	91.63346613545816	96.01593625498009	95.61752988047807	96.81274900398407	95.61752988047807	96.41434262948206	94.8207171314741	NA	< 30 weeks	12
APOE2	female	22.71428571	13	0	100	98.38709677419354	96.37096774193547	87.09677419354838	89.91935483870968	93.14516129032259	95.96774193548387	95.56451612903226	97.58064516129032	98.38709677419354	98.38709677419354	98.79032258064517	100	96.77419354838709	NA	< 30 weeks	13
APOE2	female	22.71428571	7	1	100	97.95918367346938	89.79591836734694	82.04081632653062	80	73.46938775510205	71.0204081632653	69.38775510204081	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	14
APOE2	female	22.71428571	13	0	100	102.62008733624455	101.31004366812229	100.87336244541486	102.62008733624455	102.18340611353712	104.80349344978166	103.4934497816594	104.36681222707425	105.24017467248909	105.24017467248909	105.67685589519651	104.36681222707425	101.7467248908297	NA	< 30 weeks	15
APOE2	female	22.71428571	13	0	100	98.44357976653697	92.60700389105058	82.87937743190662	78.59922178988327	74.31906614785993	75.09727626459144	77.43190661478599	83.65758754863813	88.32684824902724	88.71595330739301	90.6614785992218	90.6614785992218	91.05058365758755	NA	< 30 weeks	16
APOE2	female	22.71428571	13	0	100	98.8095238095238	91.26984126984127	82.14285714285714	80.15873015873017	86.5079365079365	88.09523809523809	90.47619047619048	94.44444444444446	96.42857142857143	97.61904761904762	98.41269841269842	97.22222222222221	95.23809523809524	NA	< 30 weeks	17
APOE2	female	22.71428571	13	0	100	97.81659388646288	90.82969432314411	81.2227074235808	78.16593886462881	71.61572052401746	70.3056768558952	72.48908296943233	74.67248908296943	79.03930131004367	79.91266375545852	80.78602620087337	83.40611353711792	83.84279475982534	NA	< 30 weeks	18
APOE4	female	25.57142857	13	0	100	101.38248847926268	93.5483870967742	83.87096774193549	77.41935483870968	76.49769585253458	79.26267281105991	80.64516129032259	83.41013824884793	87.55760368663594	87.55760368663594	89.40092165898618	90.78341013824884	90.3225806451613	NA	< 30 weeks	19
APOE4	female	25.57142857	13	0	100	95.77464788732394	92.48826291079811	81.2206572769953	76.52582159624414	72.30046948356808	73.2394366197183	76.99530516431923	83.09859154929576	89.2018779342723	88.26291079812206	89.2018779342723	92.48826291079811	94.36619718309859	NA	< 30 weeks	20
APOE4	female	25.57142857	13	0	100	100.95238095238095	94.76190476190476	85.23809523809524	80	88.09523809523809	94.76190476190476	95.71428571428572	101.9047619047619	100	102.85714285714288	104.28571428571428	106.19047619047619	104.28571428571428	NA	< 30 weeks	21
APOE4	female	22	7	1	100	97.79735682819384	93.3920704845815	84.58149779735683	79.29515418502203	74.00881057268724	70.9251101321586	69.16299559471365	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	22
APOE4	female	22	8	1	100	102.8169014084507	93.89671361502347	83.56807511737088	76.99530516431923	72.76995305164318	70.89201877934272	70.4225352112676	69.01408450704226	NA	NA	NA	NA	NA	NA	< 30 weeks	23
APOE4	female	22	7	1	100	101.77777777777777	91.55555555555556	83.11111111111111	78.22222222222223	73.77777777777779	70.22222222222223	68	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	24
APOE4	female	21.14285714	13	0	100	101.36986301369863	92.23744292237444	82.64840182648403	76.25570776255708	75.34246575342466	76.7123287671233	75.79908675799088	78.99543378995435	82.19178082191782	82.64840182648403	85.38812785388129	87.67123287671234	87.21461187214614	NA	< 30 weeks	25
APOE4	female	21.14285714	7	1	100	99.1150442477876	90.7079646017699	82.7433628318584	77.43362831858407	73.45132743362832	74.7787610619469	68.14159292035397	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	26
APOE2	male	33.85714286	5	1	100	98.19121447028422	95.8656330749354	90.18087855297156	87.5968992248062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	> 30 weeks	27
APOE2	male	33.85714286	13	0	100	96.95121951219512	95.73170731707317	87.5	82.6219512195122	78.65853658536587	75.60975609756099	72.86585365853658	72.25609756097562	71.34146341463415	71.34146341463415	71.95121951219512	73.47560975609757	75.60975609756099	NA	> 30 weeks	28
APOE2	male	33.85714286	13	0	100	96.96048632218846	94.22492401215806	85.41033434650457	79.63525835866263	78.419452887538	81.15501519756839	79.0273556231003	77.50759878419453	79.33130699088147	79.63525835866263	81.7629179331307	82.37082066869301	83.89057750759879	NA	> 30 weeks	29
APOE2	male	33.85714286	13	0	100	100.2808988764045	96.34831460674155	89.6067415730337	88.20224719101122	86.23595505617978	84.26966292134831	81.17977528089887	83.42696629213484	85.95505617977528	88.76404494382022	91.85393258426967	94.3820224719101	94.94382022471909	NA	> 30 weeks	30
APOE2	male	33.85714286	4	1	100	96.35854341736693	93.55742296918767	88.51540616246498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	> 30 weeks	31
APOE4	male	34.14285714	7	1	100	96.46017699115046	94.69026548672566	84.95575221238938	81.12094395280236	78.76106194690266	76.1061946902655	66.3716814159292	NA	NA	NA	NA	NA	NA	NA	> 30 weeks	32
APOE4	male	34.14285714	6	1	100	95.92476489028215	92.16300940438872	83.07210031347962	79.62382445141066	77.74294670846396	NA	NA	NA	NA	NA	NA	NA	NA	NA	> 30 weeks	33
APOE4	male	34.14285714	8	1	100	95	92.8125	84.375	78.75	76.875	71.875	76.25	NA	NA	NA	NA	NA	NA	NA	> 30 weeks	34
APOE4	male	34.14285714	7	1	100	95.42483660130718	89.21568627450979	82.02614379084967	78.10457516339868	76.47058823529412	73.20261437908496	NA	NA	NA	NA	NA	NA	NA	NA	> 30 weeks	35
APOE2	female	16	13	0	100	92.65306122448979	101.63265306122449	90.61224489795919	84.08163265306123	78.77551020408163	74.28571428571429	75.10204081632652	76.3265306122449	78.77551020408163	80.40816326530611	84.48979591836734	84.48979591836734	84.48979591836734	NA	< 30 weeks	36
APOE2	female	16	13	1	100	92.64705882352942	103.43137254901961	93.62745098039217	87.25490196078432	81.86274509803921	76.47058823529413	75.49019607843138	74.50980392156863	74.01960784313727	73.03921568627452	73.52941176470588	71.56862745098039	68.62745098039215	NA	< 30 weeks	37
APOE2	female	16	5	1	100	91.91489361702129	99.14893617021276	91.48936170212765	86.38297872340426	80.42553191489361	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	38
APOE2	female	16	13	0	100	91.62995594713657	107.04845814977975	100	102.20264317180616	106.16740088105728	107.04845814977975	108.81057268722468	109.69162995594712	113.215859030837	108.81057268722468	108.81057268722468	110.13215859030838	111.89427312775331	NA	< 30 weeks	39
APOE2	female	16.85714286	13	0	100	97.64150943396226	96.69811320754718	87.26415094339623	91.50943396226415	95.28301886792453	98.58490566037736	98.11320754716982	98.11320754716982	100.94339622641509	100.47169811320755	100.47169811320755	100	100.47169811320755	NA	< 30 weeks	40
APOE2	female	16.85714286	6	1	100	96.56488549618321	88.54961832061069	82.82442748091603	77.48091603053436	72.90076335877863	68.70229007633588	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	41
APOE2	female	16.85714286	13	0	100	96.47577092511013	94.27312775330397	85.90308370044053	86.34361233480176	89.4273127753304	91.62995594713657	93.3920704845815	94.27312775330397	93.3920704845815	92.0704845814978	95.15418502202644	95.15418502202644	93.3920704845815	NA	< 30 weeks	42
APOE2	female	16.85714286	13	0	100	96.12403100775194	91.86046511627907	82.1705426356589	81.78294573643412	86.43410852713178	88.75968992248062	88.37209302325581	89.53488372093024	92.24806201550388	91.86046511627907	91.86046511627907	90.31007751937985	92.24806201550388	NA	< 30 weeks	43
