genotype	sex	age_at_start	day	outcome	UID
APOE2	female	29.142857142857142	14	0	1
APOE2	female	29.142857142857142	14	0	2
APOE2	female	29.142857142857142	14	0	3
APOE2	female	28.571428571428573	14	0	4
APOE2	female	28.571428571428573	14	0	5
APOE2	female	25.857142857142858	14	0	6
APOE2	female	25.857142857142858	14	0	7
APOE2	female	25.857142857142858	14	0	8
APOE2	female	25.857142857142858	14	0	9
APOE2	female	25.857142857142858	14	0	10
APOE2	female	29.142857142857142	14	0	11
APOE2	female	29.142857142857142	14	0	12
APOE2	female	29.142857142857142	14	0	13
APOE2	female	29.142857142857142	14	0	14
APOE3	female	30.142857142857142	14	0	15
APOE3	female	29.571428571428573	14	0	16
APOE3	female	25.714285714285715	14	0	17
APOE3	female	28.285714285714285	14	0	18
APOE3	female	28.285714285714285	14	0	19
APOE3	female	28.285714285714285	14	0	20
APOE3	female	29.571428571428573	14	0	21
APOE3	female	27.142857142857142	14	0	22
APOE3	female	36.57142857142857	14	0	23
APOE3	female	25.714285714285715	14	0	24
APOE3	female	25.714285714285715	14	0	25
APOE3	female	29.571428571428573	14	0	26
APOE3	female	29.571428571428573	14	0	27
APOE3	female	29.571428571428573	14	0	28
APOE3	female	29.571428571428573	14	0	29
APOE4	female	26.142857142857142	14	0	30
APOE4	female	26.142857142857142	14	0	31
APOE4	female	26.285714285714285	14	0	32
APOE4	female	26.285714285714285	14	0	33
APOE4	female	24.285714285714285	14	0	34
APOE4	female	28.714285714285715	14	0	35
APOE4	female	28.714285714285715	14	0	36
APOE4	female	28.714285714285715	14	0	37
APOE4	female	28.714285714285715	14	0	38
APOE4	female	28.714285714285715	14	0	39
APOE4	female	28.285714285714285	14	0	40
APOE4	female	28.285714285714285	14	0	41
APOE4	female	28.285714285714285	14	0	42
APOE4	female	28.285714285714285	14	0	43
APOE2	male	25.857142857142858	14	0	44
APOE2	male	25.857142857142858	14	0	45
APOE2	male	25.857142857142858	14	0	46
APOE2	male	25.714285714285715	14	0	47
APOE2	male	25.714285714285715	14	0	48
APOE2	male	26	14	0	49
APOE2	male	26	14	0	50
APOE2	male	26	14	0	51
APOE3	male	24.714285714285715	14	0	52
APOE3	male	24.714285714285715	14	0	53
APOE3	male	24.714285714285715	14	0	54
APOE3	male	24.714285714285715	14	0	55
APOE3	male	25.714285714285715	14	0	56
APOE3	male	25.714285714285715	14	0	57
APOE3	male	25.714285714285715	14	0	58
APOE3	male	25.714285714285715	14	0	59
APOE4	male	26.285714285714285	14	0	60
APOE4	male	26.285714285714285	14	0	61
APOE4	male	26.285714285714285	14	0	62
APOE4	male	26.142857142857142	14	0	63
APOE4	male	26.142857142857142	14	0	64
APOE4	male	26.142857142857142	14	0	65
APOE4	male	26.142857142857142	14	0	66
APOE4	male	26.142857142857142	14	0	67
APOE2	male	26.714285714285715	14	0	68
APOE2	male	26.714285714285715	14	0	69
APOE2	male	26.714285714285715	14	0	70
APOE2	male	26.714285714285715	14	0	71
APOE2	male	26.714285714285715	14	0	72
APOE3	male	25.714285714285715	14	0	73
APOE3	male	25.714285714285715	14	0	74
APOE3	male	25.714285714285715	14	0	75
APOE4	male	26	14	0	76
APOE4	male	26	14	0	77
APOE4	male	26	14	0	78
APOE4	male	26	14	0	79
APOE2	male	21.428571428571427	14	0	80
APOE2	male	21.428571428571427	14	0	81
APOE2	male	21.428571428571427	14	0	82
